token,neighbor,cosine
be,denote,0.72943246
be,else,0.7278593
be,we,0.7262498
with,among,0.72132695
with,including,0.7207819
with,together,0.71499306
with,without,0.71482503
with,consisting,0.71320015
with,comprising,0.7125713
with,and,0.71065265
with,at,0.7066818
with,having,0.70601505
with,there,0.70566356
not,no,0.82743126
not,non,0.8127724
not,non-,0.79211205
not,false,0.7912462
not,didn,0.7711444
not,doesn,0.75659955
not,disagree,0.74957865
not,neither,0.74284786
not,never,0.7384791
not,cannot,0.72447836
from,to,0.7504302
from,to-,0.743245
from,out,0.7400319
from,out-,0.71659666
from,originates,0.7164707
from,receive,0.7164174
from,origin,0.71231586
from,of,0.7091211
from,new,0.7085462
from,came,0.7076436
data,data-,0.89301455
data,data1,0.8480297
data,datasets,0.834047
data,dataset,0.805563
data,database,0.8015744
data,records,0.7597291
data,files,0.7572435
data,content,0.75481135
data,information,0.75118226
data,meta-data,0.7503751
an,an-,0.9208116
an,as,0.73869663
an,na-,0.71301615
an,ating,0.70865566
an,at,0.70235115
an,ac-,0.7005128
an,en,0.69793886
an,a1,0.6951746
an,a4,0.6951597
an,ac,0.6941717
source,sources,0.8991136
source,none,0.7697344
source,contributed,0.7637511
source,result,0.7542329
source,key,0.74768883
source,data,0.727736
source,output,0.72296363
source,reference,0.71885824
source,note,0.7185074
source,summary,0.7182162
evolution,evolutionary,0.86130816
evolution,evolving,0.8401925
evolution,evolved,0.8151923
evolution,evolves,0.81279147
evolution,evolve,0.81274146
evolution,evolutions,0.8058283
evolution,evo-,0.762633
evolution,science,0.7604345
evolution,creation,0.74732363
evolution,evolu-,0.7173211
can,cant,0.7543047
can,could,0.71952474
can,bc,0.69756955
can,canada,0.69091624
can,handle,0.68363744
can,means,0.6815897
can,c4,0.67958796
can,cannot,0.67849046
can,co4,0.6767813
can,bin,0.6764958
have,has,0.8482664
have,having,0.8239283
have,had,0.8204298
have,own,0.7920079
have,need,0.75249773
have,seen,0.7524965
have,possess,0.75011337
have,want,0.7476688
have,been,0.74221855
have,must,0.74089277
it,its,0.8879047
it,ities,0.78606427
it,ity,0.7845832
it,thing,0.75023776
it,information-technology,0.7288304
it,is,0.7274825
it,things,0.72727984
it,the,0.7260468
it,something,0.7259547
it,technology,0.7238285
our,we,0.91629565
our,ours,0.90775967
our,us,0.79244953
our,us-,0.7622953
our,together,0.72830194
our,are,0.72568226
our,their,0.7168964
our,each,0.71118045
our,here,0.7106333
our,were,0.7089982
changes,change,0.9065183
changes,changing,0.90552545
changes,changed,0.8961465
changes,changed-,0.88047516
changes,co-changes,0.7986878
changes,change-,0.7980989
changes,co-changed,0.7927172
changes,change-set,0.78947467
changes,change-sets,0.7885561
changes,updates,0.76614255
files,file,0.89794606
files,filenames,0.82184607
files,downloads,0.8088365
files,documents,0.7917788
files,docs,0.7858606
files,folder,0.7737706
files,filename,0.77259886
files,formats,0.7712365
files,images,0.76323014
files,data,0.7572435
information,info,0.908743
information,inform,0.8155405
information,knowledge,0.7533578
information,data,0.75118226
information,informative,0.7487209
information,resources,0.7418082
information,documents,0.7330384
information,docs,0.73181355
information,content,0.72979337
information,messages,0.7287559
which,what,0.7904959
which,whom,0.7845759
which,who,0.77867895
which,whose,0.7746606
which,the,0.7620393
which,where,0.72110426
which,whether,0.6984483
which,these,0.6966137
which,this,0.69086415
which,their,0.6870717
file,files,0.89794606
file,day-file,0.78675663
file,flat-file,0.78609395
file,author-file,0.7838017
file,filename,0.7822486
file,intra-file,0.7668939
file,file-level,0.765853
file,folder,0.76468885
file,fileversion,0.7537345
file,format,0.7397339
number,numbers,0.9188932
number,num-,0.80918443
number,num,0.78704923
number,integer,0.780469
number,counting,0.76889837
number,count,0.76279616
number,numeric,0.7613229
number,ten,0.7298186
number,thousand,0.72395784
number,calling,0.7222473
change,changing,0.9109566
change,changes,0.9065183
change,changed,0.8619177
change,change-,0.8586439
change,changed-,0.8500449
change,change-set,0.80168664
change,co-changed,0.79293144
change,change-sets,0.77913195
change,co-changes,0.7709126
change,software-change,0.759674
project,projects,0.87518746
project,program,0.7768379
project,work,0.7547884
project,cross-project,0.7455883
project,developer-project,0.7436487
project,product,0.73284847
project,construction,0.73075545
project,research,0.7300568
project,activity,0.7270939
project,engineering,0.7269249
projects,project,0.87518746
projects,programs,0.7926984
projects,products,0.7683043
projects,services,0.75294316
projects,work,0.75199085
projects,design,0.7432074
projects,engineering,0.73868257
projects,research,0.7307192
projects,sites,0.71339184
projects,team,0.7092155
all,entire,0.7902734
all,every,0.74678373
all,completely,0.7418112
all,any,0.73085463
all,any-,0.71390224
all,complete,0.71279174
all,whole,0.7124577
all,each,0.7118869
all,anything,0.7075939
all,overall,0.6970446
analysis,analyses,0.94985884
analysis,analyzed,0.9094904
analysis,analyzing,0.90764767
analysis,analyzes,0.89410764
analysis,analyze,0.8579263
analysis,analy-,0.8428034
analysis,analysts,0.8064162
analysis,analyzer,0.78873175
analysis,methodology,0.7465745
analysis,conclusions,0.74049246
one,ones,0.90038663
one,once,0.8013924
one,first,0.7538086
one,one-to-one,0.74487835
one,another,0.7423682
one,only,0.7343114
one,u1,0.73367715
one,two,0.7300326
one,single,0.7289362
one,s1,0.7246689
two,pair,0.82449085
two,twofold,0.81047535
two,second,0.79625773
two,twice,0.7896045
two,secondly,0.7748029
two,both,0.7684195
two,multiple,0.76512384
two,ii,0.7651097
two,pairs,0.7637645
two,another,0.76306266
system,system-,0.98399866
system,systems,0.9363078
system,subsystems,0.8367145
system,subsystem,0.81369436
system,system-specific,0.7687841
system,sys-,0.75043344
system,sys,0.7471172
system,configuration,0.72927034
system,setup,0.72620267
system,computer,0.71560377
mining,mines,0.8578742
mining,miner,0.8325602
mining,mined,0.829209
mining,mine,0.7943975
mining,pr-miner,0.73249006
mining,sqminer,0.7167548
mining,industry,0.67928267
mining,exploration,0.67414117
mining,construction,0.67397773
mining,working,0.6733273
such,so,0.83468246
such,thus,0.8302087
such,so-,0.82712
such,otherwise,0.7772116
such,therefore,0.7630123
such,indeed,0.74660635
such,hence,0.7422338
such,similarly,0.739236
such,furthermore,0.7382627
such,there,0.73637474
each,individually,0.8226733
each,their,0.80408233
each,every,0.79142475
each,respectively,0.7904688
each,themselves,0.7844889
each,they,0.7634583
each,them,0.7628597
each,together,0.75607705
each,individuals,0.7531974
each,there,0.75069684
between,between-version,0.8003426
between,among,0.78187644
between,gap,0.7660638
between,across,0.7467996
between,below,0.7455284
between,during,0.73847616
between,inter-,0.72806525
between,intervals,0.7207451
between,under,0.7142498
between,before,0.7132057
figure,figures,0.90673745
figure,picture,0.780117
figure,model,0.7591614
figure,illustrates,0.75911486
figure,depicts,0.75744313
figure,depicted,0.73984575
figure,fig,0.737348
figure,illustrate,0.736392
figure,fig-,0.73192364
figure,graphical,0.7312379
these,those,0.83749944
these,this,0.8095377
these,there,0.76245475
these,respectively,0.74652964
these,their,0.7451937
these,each,0.74391544
these,here,0.740307
these,several,0.74004894
these,others,0.7335307
these,things,0.7287357
at,ating,0.80585176
at,as,0.7291278
at,ations,0.7276177
at,ment,0.72422296
at,there,0.72262925
at,thu,0.7112593
at,there-,0.71031094
at,with,0.7066818
at,an,0.70235115
at,let,0.7021365
patterns,pattern,0.9435979
patterns,pattern-based,0.8410382
patterns,textual-pattern,0.7883593
patterns,plots,0.7341862
patterns,diagrams,0.7147881
patterns,style,0.7137591
patterns,graphs,0.7088351
patterns,schemas,0.70766026
patterns,loops,0.7044269
patterns,circles,0.7038398
pattern,patterns,0.9435979
pattern,pattern-based,0.8515468
pattern,textual-pattern,0.8345765
pattern,style,0.7322247
pattern,dress,0.71411926
pattern,trend,0.70730865
pattern,example,0.69423896
pattern,shape,0.6926252
pattern,sequence,0.6898872
pattern,plots,0.6884363
used,spent,0.79002655
used,utilized,0.7867793
used,available,0.7638042
used,obtained,0.76377696
used,dealt,0.7631961
used,use,0.75761086
used,found,0.75253165
used,offered,0.7517558
used,given,0.74775654
used,usable,0.74726117
using,utilizing,0.9304941
using,usage,0.9239255
using,use,0.9068071
using,usages,0.90003043
using,use-,0.877655
using,utilizes,0.8728632
using,utilized,0.860406
using,uses,0.8595632
using,utilize,0.84603584
using,providing,0.77986217
may,may-03,0.8129149
may,june,0.76195174
may,wed,0.75737846
may,october,0.72699916
may,april,0.71866804
may,september,0.7068487
may,month,0.69995683
may,august,0.692893
may,july,0.67528534
may,day,0.6747534
other,others,0.92626697
other,additional,0.8378158
other,miscellaneous,0.81097543
other,another,0.8010396
other,various,0.781785
other,additionally,0.7769833
other,also,0.7707799
other,some,0.7600276
other,else,0.75975806
other,some-,0.7587336
use,use-,0.9703557
use,usage,0.95384014
use,uses,0.9138876
use,using,0.9068071
use,usages,0.89434844
use,utilize,0.8807173
use,utilizes,0.8733568
use,utilized,0.8694985
use,utilizing,0.85505986
use,useful,0.7868584
version,versions,0.9288757
version,version1,0.8272214
version,version2,0.826941
version,versioning,0.80629486
version,multi-version,0.8046182
version,fileversion,0.80171114
version,within-version,0.7932358
version,between-version,0.7872777
version,corpus-version,0.74621487
version,release,0.726217
example,examples,0.9307112
example,sample,0.82126987
example,instance,0.7749453
example,samples,0.7748237
example,demonstrated,0.74810237
example,similar,0.7475749
example,typical,0.74746823
example,illustrates,0.7466887
example,illustrate,0.74193245
example,similar-,0.74034756
has,have,0.8482664
has,had,0.82438296
has,does,0.81946284
has,having,0.77044094
has,his,0.74173385
has,did,0.74134904
has,doesn,0.74102026
has,contains,0.740423
has,his-,0.73908496
has,is,0.732453
cvs,cvshome,0.7523452
cvs,cvsanaly,0.7417009
cvs,cvsroot,0.7341381
cvs,cvsscan,0.6842883
cvs,rx,0.6642857
cvs,cvssearch,0.66293436
cvs,cvsgrab,0.65696985
cvs,floss,0.6443755
cvs,target,0.6417326
cvs,pink,0.6408199
same,likewise,0.86479604
same,similarly,0.82884663
same,identical,0.8094601
same,similar,0.793031
same,equivalently,0.7870856
same,similar-,0.76893127
same,exactly,0.76330763
same,equal,0.7607774
same,indeed,0.7537987
same,consistent,0.75373197
more,additional,0.8222912
more,another,0.8125834
more,further,0.80165166
more,extra,0.76178324
more,additionally,0.7493729
more,also,0.74316335
more,other,0.74067044
more,additions,0.73935413
more,than,0.7388302
more,beyond,0.7381949
repository,repositories,0.86218864
repository,reposito-,0.8122268
repository,repos-,0.8048612
repository,serepository,0.7975912
repository,downloads,0.7314095
repository,download,0.7128444
repository,compilation,0.70300394
repository,archiving,0.701508
repository,iso-,0.7013515
repository,subversion,0.6961323
work,working,0.8997416
work,works,0.79689807
work,employed,0.7858314
work,doing,0.7656557
work,tasks,0.75527185
work,project,0.7547884
work,projects,0.75199085
work,construction,0.74762076
work,employ,0.73675996
work,services,0.7304287
if,depending,0.7983638
if,conditional,0.7964256
if,unless,0.79085964
if,conditionals,0.76649725
if,suppose,0.76573557
if,iff,0.76488864
if,conditionally,0.7629015
if,ifi,0.7547784
if,whether,0.7538894
if,let,0.7404563
they,them,0.92808694
they,their,0.8529665
they,he,0.81873655
they,there,0.8056028
they,she,0.80332917
they,those,0.8019309
they,themselves,0.7931578
they,the,0.7652257
they,each,0.7634583
they,there-,0.75209427
only,solely,0.7764139
only,one,0.7343114
only,just,0.729017
only,mainly,0.7252742
only,primarily,0.7135131
only,first,0.7124037
only,simplest,0.69943255
only,limited,0.6960752
only,minimal,0.6913397
only,merely,0.6897574
tool,tools,0.90464616
tool,toolset,0.8107887
tool,toolchain,0.8050456
tool,tool-chain,0.7935867
tool,hack,0.7580292
tool,useful,0.7491398
tool,pick,0.74895954
tool,skills,0.74313486
tool,implements,0.74201256
tool,scratch,0.73877436
repositories,repos-,0.86841995
repositories,repository,0.86218864
repositories,reposito-,0.82400024
repositories,downloads,0.76225895
repositories,serepository,0.7435125
repositories,databases,0.7277747
repositories,compilations,0.70691085
repositories,resource,0.7061153
repositories,compilation,0.7043527
repositories,compiled,0.704136
different,differ,0.87534535
different,differ-,0.8634909
different,differently,0.86193883
different,unique,0.8411153
different,differing,0.82385975
different,differences,0.81174475
different,distinct,0.7916569
different,varying,0.7830796
different,peculiar,0.7802036
different,unlike,0.7790361
results,result,0.7527157
results,result-,0.7424814
results,listing,0.7189113
results,outcomes,0.6906843
results,notes,0.6895454
results,final,0.68869424
results,sites,0.6843333
results,products,0.68185574
results,data-,0.6751423
results,resulting,0.6687481
bug,bug-,0.9764729
bug,bugs,0.9111443
bug,bug-introducing,0.83304167
bug,bugzilla,0.80338824
bug,buggy,0.8008852
bug,bug-fix,0.7979995
bug,bug-prone,0.79229313
bug,defect,0.7863112
bug,bugcrawler,0.76986945
bug,error,0.74763066
class,classes,0.8497736
class,classcoh,0.7775131
class,subclass,0.776801
class,class-java,0.77081096
class,classification,0.76173186
class,subclasses,0.75260276
class,classroom,0.74713355
class,classifications,0.74572027
class,school,0.74139655
class,grade,0.72778136
but,however,0.8699168
but,though,0.8219638
but,although,0.8133137
but,and,0.79304624
but,thus,0.76799107
but,otherwise,0.76140606
but,um,0.7596514
but,so,0.7585867
but,some,0.75231904
but,except,0.7507287
also,additionally,0.9281689
also,furthermore,0.8814582
also,moreover,0.8107277
also,and,0.8039325
also,others,0.7905753
also,another,0.78967863
also,similarly,0.7738673
also,additional,0.77329654
also,other,0.7707799
also,likewise,0.7615531
table,tables,0.9250763
table,tabulate,0.7316475
table,serves,0.7032439
table,display,0.69349897
table,handle,0.6927662
table,set,0.69212806
table,shown,0.6894483
table,piece,0.6843915
table,columns,0.6807156
table,column,0.680427
program,programs,0.8742506
program,program-,0.8037788
program,course,0.780603
program,project,0.7768379
program,programming,0.7653936
program,presentation,0.74958634
program,registration,0.743434
program,courses,0.7315654
program,school,0.7287158
program,series,0.72234315
how,how-,0.96339595
how,ways,0.8092382
how,method,0.78803587
how,methods,0.7689431
how,method-,0.76706904
how,way,0.76006573
how,differently,0.73372215
how,what,0.728044
how,um,0.7197292
how,whom,0.7119513
set,sets,0.928214
set,itemset,0.80650556
set,itemsets,0.775006
set,change-set,0.76886636
set,given,0.7440002
set,toolset,0.74158955
set,change-sets,0.73919755
set,combination,0.7338756
set,collection,0.73369205
set,objects,0.73043126
been,undergone,0.83012176
been,had,0.8159312
been,since,0.7795039
been,seen,0.7686807
been,past,0.7625048
been,known,0.75162333
been,previous,0.7480812
been,previously,0.74664724
been,be,0.74651575
been,encountered,0.7456836
method,method-,0.9768305
method,methods,0.9358839
method,methodology,0.8893343
method,methodgen,0.8192161
method,methodologies,0.8132143
method,technique,0.7975098
method,how,0.78803587
method,how-,0.7799609
method,methodolo-,0.7798892
method,process,0.7729915
engineering,engineer-,0.83214265
engineering,science,0.80093217
engineering,sciences,0.7982497
engineering,design,0.7820575
engineering,technology,0.7592401
engineering,architecture,0.7506244
engineering,technical,0.74696183
engineering,projects,0.73868257
engineering,environment,0.7326478
engineering,construction,0.7269316
their,they,0.8529665
their,them,0.8423748
their,themselves,0.8423322
their,each,0.80408233
their,whose,0.7853457
their,those,0.77580893
their,his,0.7703735
their,there,0.76780325
their,the,0.7632719
their,are,0.7509718
when,whenever,0.84537876
when,where,0.7650586
when,now,0.75315464
when,soon,0.7473475
when,then,0.73487866
when,time,0.73339486
when,date,0.73321754
when,during,0.73110396
when,today,0.7143745
when,what,0.71358603
section,sections,0.90653753
section,subsection,0.81681913
section,part,0.76730984
section,contents,0.7334529
section,segment,0.70902437
section,snippets,0.7038314
section,entries,0.7009082
section,content,0.6991743
section,segments,0.6919321
section,division,0.68965065
was,is,0.803487
was,were,0.787802
was,had,0.7699854
was,been,0.745011
was,did,0.73634744
was,being,0.73553896
was,appeared,0.71603876
was,originally,0.7120677
was,former,0.7104616
was,its,0.70949686
systems,system,0.9363078
systems,system-,0.9243529
systems,subsystems,0.85847104
systems,technologies,0.7920198
systems,subsystem,0.78381723
systems,technology,0.7481941
systems,solutions,0.7442042
systems,components,0.7438004
systems,software,0.742526
systems,system-specific,0.74079204
lines,line,0.9256465
lines,line-level,0.78041655
lines,linehelp,0.7447239
lines,outlines,0.7339725
lines,uniqueline,0.7160586
lines,edges,0.71523404
lines,paths,0.7098463
lines,markers,0.7078343
lines,lengths,0.7010514
lines,traces,0.69849324
some,some-,0.9730836
some,others,0.8444506
some,somewhat,0.8367573
some,sometimes,0.825509
some,several,0.78545654
some,partly,0.7804739
some,various,0.77418023
some,mostly,0.77374816
some,few,0.7678641
some,other,0.7600276
first,firstly,0.9232768
first,second,0.82400393
first,one,0.7538086
first,third,0.74652886
first,once,0.7406151
first,firstfileversion,0.7286594
first,i1,0.7261704
first,original,0.72166175
first,secondly,0.7188141
first,ones,0.71873367
than,too,0.7582127
than,or,0.7443681
than,longer,0.73953617
than,more,0.7388302
than,plus,0.73840815
than,ment,0.7362182
than,larger,0.7346647
than,better,0.73011637
than,upon,0.72927624
than,near,0.72870874
new,newer,0.8205291
new,created,0.7445719
new,recent,0.7370383
new,updated,0.72642314
new,creating,0.725054
new,introducing,0.71829003
new,unique,0.71652657
new,modern,0.7144226
new,natural,0.7143136
new,open,0.714266
type,types,0.90169203
type,type-based,0.82443327
type,typed,0.81137604
type,kind,0.7931394
type,kinds,0.78832495
type,puretype,0.7777911
type,shape,0.7665738
type,style,0.7644462
type,by_type,0.75390035
type,typing,0.74345756
approach,approaches,0.92993474
approach,methodology,0.7539382
approach,strategy,0.75383997
approach,method,0.75108725
approach,strategies,0.744871
approach,method-,0.7398857
approach,focus,0.7366668
approach,initiative,0.7360581
approach,technique,0.7352852
approach,methods,0.73380005
based,basis,0.76321733
based,base,0.7487784
based,derived,0.7297988
based,relies,0.725756
based,determined,0.7231276
based,originated,0.7075036
based,stated,0.70488024
based,bases,0.70331216
based,focused,0.7018183
based,according,0.69782925
versions,version,0.9288757
versions,multi-version,0.84082335
versions,versioning,0.8141726
versions,variants,0.81130016
versions,between-version,0.8010149
versions,version2,0.7949483
versions,version1,0.78235185
versions,releases,0.76993084
versions,variations,0.7670395
versions,within-version,0.7654493
java,in-java,0.82495886
java,programming,0.7798919
java,netbeans,0.7704399
java,jdk,0.76479506
java,class-java,0.75742954
java,coding,0.73604196
java,ruby,0.7290832
java,python,0.72775704
java,software,0.7263593
java,bytecode,0.7229819
time,times,0.8038978
time,time-interval,0.7834331
time,minute,0.7828033
time,moment,0.7757422
time,hours,0.7697018
time,pdt,0.7663072
time,duration,0.74794966
time,date,0.74762726
time,now,0.74468887
time,when,0.73339486
will,wille,0.8272499
will,shall,0.8109935
will,might,0.75845176
will,wish,0.7544785
will,promise,0.74544513
will,expectation,0.7322888
will,intend,0.7318439
will,expect,0.7251822
will,desired,0.7216637
will,believe,0.7190594
many,numerous,0.88875896
many,much,0.84743387
many,several,0.8399002
many,hundreds,0.80020654
many,thousands,0.7789959
many,often,0.7747826
many,multi,0.7448621
many,multiple,0.7353931
many,few,0.7307699
many,multi-,0.7273218
were,are,0.86026025
were,was,0.787802
were,we,0.77428603
were,there,0.7727683
were,among,0.7585822
were,their,0.7498029
were,there-,0.7488712
were,they,0.7453725
were,those,0.7411712
were,been,0.73747504
large,larger,0.88394994
large,big,0.88025063
large,huge,0.8718295
large,enormous,0.86177075
large,largest,0.8175271
large,biggest,0.8150003
large,bigger,0.7965712
large,size,0.77427727
large,thick,0.7733736
large,larger-scale,0.7649146
common,commonalities,0.7882505
common,commonly,0.762377
common,popular,0.74443865
common,prevalent,0.7356468
common,shared,0.72175777
common,frequent,0.7178997
common,familiar,0.70866036
common,kde-common,0.70829266
common,typical,0.70475125
common,mutual,0.6965598
about,members,0.6983093
about,profile,0.6900554
about,products,0.6810737
about,listing,0.6809472
about,education,0.676446
about,pages,0.67149144
about,website,0.6695959
about,info,0.66041344
about,top,0.65883154
about,sites,0.6539015
there,there-,0.9580549
there,here,0.84628844
there,they,0.8056028
there,those,0.7924998
there,and,0.7863656
there,where,0.77923113
there,that,0.7769316
there,were,0.7727683
there,the,0.7720505
there,them,0.7713541
research,researches,0.8761162
research,researcher,0.79714596
research,researchers,0.7971457
research,papers,0.7674007
research,studies,0.7621562
research,findings,0.75557953
research,study,0.7424868
research,sciences,0.7332966
research,experiments,0.7313739
research,projects,0.7307192
matching,matchings,0.9252645
matching,matched,0.894064
matching,match-,0.892069
matching,match,0.8909069
matching,matchers,0.86329806
matching,matcher,0.8345553
matching,corresponding,0.79437196
matching,unmatched,0.78757185
matching,matches,0.7871148
matching,mismatch,0.78581613
because,why,0.8926627
because,reasons,0.82266164
because,reason,0.7854633
because,cause,0.74294585
because,therefore,0.72598416
because,hence,0.7064511
because,explains,0.7030351
because,explained,0.67844564
because,causes,0.6680381
because,caused,0.6668099
development,developing,0.91206294
development,develop,0.8594788
development,develop-,0.8393311
development,developed,0.81259114
development,developer,0.7950479
development,dev,0.7873834
development,developers,0.7831587
development,re-development,0.7812307
development,growth,0.75898325
development,developer-project,0.7589708
pages,page,0.76539075
pages,sites,0.7486388
pages,listing,0.6896752
pages,links,0.6888021
pages,website,0.68107855
pages,site,0.67849416
pages,webpage,0.6757082
pages,about,0.67149144
pages,entries,0.66972625
pages,browsing,0.66943055
sequences,sequence,0.94233316
sequences,subsequences,0.839878
sequences,sequencing,0.8365328
sequences,subsequence,0.81425476
sequences,sequential,0.8026748
sequences,frequent-sequences,0.7987319
sequences,frequent-sequence,0.7850146
sequences,sequence-mining,0.7799189
sequences,series,0.73907286
sequences,numbers,0.72426265
developers,developer,0.9439846
developers,developer-project,0.87678504
developers,dev,0.82743037
developers,programmers,0.8020372
developers,developing,0.78881407
developers,development,0.7831587
developers,develop,0.7611296
developers,single-developer,0.738852
developers,develop-,0.7383274
developers,programmer,0.7332013
coupling,couplings,0.951522
coupling,coupled,0.8917451
coupling,relating,0.7881305
coupling,combining,0.7789606
coupling,linking,0.7607743
coupling,paired,0.7456986
coupling,connection,0.74334073
coupling,together,0.7416373
coupling,combination,0.73290056
coupling,correlating,0.732845
name,names,0.86155367
name,named,0.82544845
name,naming,0.78957295
name,username,0.7686829
name,surname,0.7497927
name,name-based,0.74968946
name,usernames,0.72996515
name,setname,0.7233017
name,info,0.7130063
name,person,0.7083909
level,levels,0.92463803
level,line-level,0.7975448
level,grade,0.7833365
level,higher-level,0.7622903
level,layer,0.74950904
level,low-level,0.7404904
level,high-level,0.73874044
level,depth,0.73674315
level,file-level,0.73128515
level,layered,0.71693873
function,functions,0.9368354
function,functional,0.8328295
function,functionality,0.8305135
function,purpose,0.7754381
function,functionobject,0.7520687
function,functionpointer,0.75048035
function,type,0.7255366
function,purposes,0.7205278
function,operate,0.7189086
function,use,0.7161141
concept,concepts,0.91999924
concept,conceptof,0.8921126
concept,idea,0.85491437
concept,conceptual,0.84505445
concept,notion,0.791273
concept,theory,0.7600704
concept,ideas,0.7553362
concept,principle,0.7540895
concept,thought,0.74541616
concept,theoretical,0.73072773
case,cases,0.8896978
case,clearcase,0.782141
case,suit,0.7212469
case,situation,0.7113462
case,condition,0.7044821
case,example,0.70214254
case,type,0.70088476
case,object,0.6983242
case,piece,0.6948117
case,suited,0.6944641
found,discovered,0.8398775
found,find,0.8252558
found,finds,0.8250149
found,finding,0.7946736
found,obtained,0.7906154
found,encountered,0.78575146
found,created,0.7694916
found,uncover,0.7631902
found,appeared,0.75609696
found,discovers,0.75526357
into,become,0.76399493
into,becomes,0.7568454
into,became,0.74286574
into,inserted,0.73563933
into,onto,0.72520024
into,initiate,0.7245291
into,through,0.7219208
into,insert,0.71924245
into,going,0.71804786
into,expand,0.71644276
logical,logic,0.90674084
logical,logically,0.8942897
logical,logics,0.8279631
logical,propositional,0.79926115
logical,rational,0.7925144
logical,obvious,0.76850134
logical,semantic,0.7632135
logical,indicative,0.7553989
logical,semantically,0.7396801
logical,intuitive,0.73914707
clone,clones,0.9292818
clone,cloned,0.90609074
clone,cloning,0.82119644
clone,copy,0.8137385
clone,duplicate,0.810829
clone,duplication,0.797203
clone,copied,0.7952841
clone,duplicated,0.7784452
clone,copying,0.7757927
clone,copies,0.7662153
open,opened,0.9036914
open,available,0.7794932
open,ready,0.7634753
open,visit,0.75507164
