token,token_id,freq
binary,351,60
university,352,60
groups,353,60
package,354,60
static,355,59
match,356,59
modules,357,59
pp,358,58
help,359,58
present,360,58
written,361,58
hard,362,57
entities,363,57
content,364,57
author,365,57
important,366,57
corresponding,367,57
product,368,57
press,369,57
lis,370,57
lisfs,371,57
annotation,372,56
count,373,56
original,374,56
identical,375,56
science,376,56
programs,377,56
re-,378,56
relevant,379,56
propose,380,55
defined,381,55
application,382,55
detection,383,55
applied,384,55
fixed,385,55
copy,386,55
consider,387,55
during,388,55
references,389,55
requires,390,54
later,391,54
categories,392,54
bugs,393,54
contain,394,54
parts,395,54
revisions,396,54
means,397,54
cannot,398,54
instances,399,54
sourceforge,400,53
must,401,53
com-,402,53
collection,403,53
ast,404,53
provides,405,52
modifications,406,52
refactoring,407,52
who,408,51
addition,409,51
last,410,51
problems,411,51
words,412,51
together,413,51
years,414,51
current,415,51
de-,416,50
platform,417,50
up,418,50
directory,419,50
once,420,50
dependencies,421,50
cohesion,422,50
above,423,50
logic,424,50
simple,425,50
advantage,426,49
notice,427,49
frequently,428,49
bug-prone,429,49
quality,430,49
queries,431,49
global,432,49
awt,433,49
com,434,48
unique,435,48
describe,436,48
artifacts,437,48
studies,438,48
still,439,48
models,440,48
prefix,441,48
grade,442,48
column,443,48
next,444,47
considered,445,47
effort,446,47
zimmermann,447,47
finding,448,47
linux,449,47
automatically,450,47
exchange,451,47
documentation,452,47
element,453,46
third,454,46
finally,455,46
histories,456,46
tracking,457,46
significant,458,46
pro-,459,46
libre,460,46
uses,461,46
knowledge,462,46
within,463,46
fact,464,45
less,465,45
page,466,45
otherwise,467,45
mozilla,468,45
view,469,45
times,470,44
maximum,471,44
get,472,44
error,473,44
famix,474,44
address,475,44
syntax,476,44
fixes,477,44
usually,478,44
extraction,479,44
change-sets,480,44
personal,481,44
further,482,43
being,483,43
commercial,484,43
society,485,43
blocks,486,43
whose,487,43
gives,488,43
performance,489,43
procedure,490,43
subtree,491,42
cpp,492,42
etc,493,42
analyze,494,42
whether,495,42
access,496,42
outsourcing,497,42
granted,498,42
relation,499,42
merging,500,42
proposed,501,42
note,502,42
list,503,42
variants,504,42
extracted,505,42
role,506,41
top,507,41
including,508,41
impact,509,41
term,510,41
variables,511,41
least,512,41
radar,513,41
done,514,41
identifying,515,41
follows,516,41
determine,517,41
prior,518,41
changed-files,519,40
digital,520,40
classroom,521,40
reverse,522,40
post,523,40
copied,524,40
networks,525,40
mine,526,40
genealogy,527,40
stored,528,40
around,529,40
origin,530,40
con-,531,40
functionality,532,40
profit,533,40
scm,534,40
tests,535,39
links,536,39
ex-,537,39
course,538,39
much,539,39
almost,540,39
detect,541,39
real,542,39
sources,543,39
object,544,39
citation,545,39
comparison,546,39
define,547,39
heuristic,548,39
attributes,549,39
currently,550,39
accuracy,551,39
main,552,38
logs,553,38
relationship,554,38
differences,555,38
diff,556,38
ca,557,38
cs,558,38
he,559,38
bear,560,38
regression,561,38
in-,562,38
read,563,38
jan,564,38
hence,565,38
certain,566,38
working,567,38
selected,568,38
network,569,38
implemented,570,38
described,571,38
gall,572,37
rate,573,37
previous,574,37
servers,575,37
understand,576,37
ware,577,37
before,578,37
pool,579,37
social,580,37
pair,581,37
indicates,582,37
represents,583,37
ta-re,584,37
box,585,37
src,586,37
goal,587,37
state,588,36
commit,589,36
numbers,590,36
web,591,36
easily,592,36
ls,593,36
events,594,36
distributions,595,36
local,596,36
indicate,597,36
initial,598,36
path,599,36
rather,600,36
class-java,601,36
whole,602,36
sampler,603,36
always,604,36
performed,605,35
did,606,35
word,607,35
republish,608,35
foo,609,35
input,610,35
mined,611,35
syntactic,612,35
items,613,35
middle,614,35
copyright,615,35
link,616,35
sec,617,35
good,618,34
formal,619,34
edu,620,34
users,621,34
produced,622,34
relationships,623,34
contrast,624,34
obtained,625,34
t1,626,34
analyzed,627,34
v1,628,34
larger,629,34
netbsd,630,34
difficult,631,34
soft-,632,34
objects,633,34
dynamic,634,34
aspects,635,34
genealogies,636,34
snapshots,637,34
allows,638,34
extract,639,34
location,640,34
examples,641,34
candidates,642,34
udos,643,34
already,644,34
frequency,645,34
too,646,33
redistribute,647,33
modification,648,33
representing,649,33
rates,650,33
few,651,33
c1,652,33
v2,653,33
edges,654,33
had,655,33
keyword,656,33
operations,657,33
complex,658,33
output,659,33
directly,660,33
computing,661,33
string,662,33
approaches,663,33
perform,664,33
conclusions,665,33
created,666,32
under,667,32
mapo,668,32
measurement,669,32
might,670,32
argouml,671,32
structural,672,32
t2,673,32
ways,674,32
directories,675,32
similarities,676,32
description,677,32
key,678,32
reuse,679,32
past,680,32
easy,681,32
though,682,32
todo,683,32
archives,684,32
conf,685,32
collected,686,32
fragments,687,32
require,688,31
representation,689,31
contents,690,31
due,691,31
equivalence,692,31
apply,693,31
instead,694,31
analyzing,695,31
openbsd,696,31
apache,697,31
kim,698,31
variable,699,31
detailed,700,31
represent,701,31
implementor,702,31
matched,703,31
icsm,704,31
ordered,705,30
visualizing,706,30
block,707,30
flow,708,30
granularity,709,30
reported,710,30
day,711,30
retrieval,712,30
empirical,713,30
environment,714,30
candidate,715,30
discussion,716,30
according,717,30
testing,718,30
either,719,30
involved,720,30
field,721,30
louis,722,30
believe,723,30
collaborative,724,30
documents,725,30
ordering,726,30
snippets,727,30
practice,728,30
edge,729,30
edit,730,30
object-oriented,731,30
additional,732,30
ap-,733,30
avoid,734,30
build,735,29
snapshot,736,29
generated,737,29
fields,738,29
form,739,29
likely,740,29
architectural,741,29
subversion,742,29
entity,743,29
characteristics,744,29
interfaces,745,29
symposium,746,29
graphs,747,29
ones,748,29
others,749,29
document,750,29
center,751,29
semantic,752,29
net,753,29
designed,754,29
evaluation,755,29
databases,756,29
infer,757,29
add,758,29
missouri,759,29
deletions,760,29
icse,761,29
sys,762,29
additions,763,28
assume,764,28
built,765,28
compare,766,28
known,767,28
commits,768,28
st,769,28
committed,770,28
area,771,28
focus,772,28
bugzilla,773,28
you,774,28
close,775,28
property,776,28
universal,777,28
detecting,778,28
distance,779,28
commonstate,780,28
individual,781,28
comparing,782,28
limited,783,28
isomorphism,784,28
overall,785,28
computed,786,28
appear,787,28
technical,788,28
deleted,789,28
presents,790,28
confidence,791,28
bottom,792,28
public,793,28
track,794,28
better,795,27
team,796,27
required,797,27
descriptors,798,27
subject,799,27
engine,800,27
authors,801,27
conclusion,802,27
r2,803,27
here,804,27
automatic,805,27
mailing,806,27
point,807,27
answer,808,27
searching,809,27
site,810,27
exist,811,27
correlation,812,27
compute,813,27
remove,814,27
canopy,815,27
applying,816,27
summary,817,27
usages,818,27
makes,819,27
higher,820,27
log-entries,821,26
root,822,26
grouping,823,26
final,824,26
step,825,26
programmer,826,26
cross-cutting,827,26
structures,828,26
why,829,26
needs,830,26
concepts,831,26
sometimes,832,26
questions,833,26
best,834,26
couplings,835,26
freebsd,836,26
informa-,837,26
inserted,838,26
mechanism,839,26
supported,840,26
criteria,841,26
give,842,26
actor,843,26
library,844,26
own,845,26
locations,846,26
implies,847,26
python,848,26
building,849,26
mutual,850,26
relations,851,26
be-,852,26
hand,853,25
quantitative,854,25
methodology,855,25
average,856,25
acquisition,857,25
includes,858,25
experiments,859,25
preliminary,860,25
visual,861,25
de,862,25
f1,863,25
fp,864,25
suggests,865,25
standard,866,25
discussed,867,25
mean,868,25
free,869,25
experience,870,25
map,871,25
collaboration,872,25
associated,873,25
studying,874,25
jedit,875,25
artifact,876,25
outline,877,25
mainly,878,25
multi-version,879,25
red,880,25
smaller,881,25
consists,882,25
say,883,25
frequencies,884,25
simply,885,25
schema,886,25
tasks,887,25
parsing,888,24
base,889,24
end,890,24
f2,891,24
separate,892,24
basic,893,24
want,894,24
having,895,24
coupled,896,24
plastik,897,24
technology,898,24
place,899,24
experiment,900,24
allow,901,24
marked,902,24
lower,903,24
zeller,904,24
date,905,24
identifier,906,24
take,907,24
fine-grained,908,24
traces,909,24
strong,910,24
co-change,911,24
idea,912,24
suggest,913,24
japan,914,23
format,915,23
retrieved,916,23
releases,917,23
extension,918,23
roles,919,23
gerber,920,23
ext,921,23
green,922,23
grades,923,23
places,924,23
mockus,925,23
additionally,926,23
write,927,23
consistent,928,23
his,929,23
corpus,930,23
growth,931,23
partial,932,23
entailment,933,23
reason,934,23
kdelibs,935,23
joan,936,23
coverage,937,23
lead,938,23
recursive,939,23
develop,940,23
along,941,23
details,942,23
discuss,943,23
locate,944,23
extracting,945,23
account,946,23
processes,947,23
stateless,948,23
operating,949,23
describes,950,23
run,951,23
mentioned,952,23
tag,953,23
stable,954,22
interval,955,22
computation,956,22
examine,957,22
look,958,22
apis,959,22
plan,960,22
wei,961,22
overrider,962,22
know,963,22
purposes,964,22
xml,965,22
changing,966,22
difference,967,22
upstream,968,22
scenarios,969,22
collect,970,22
containing,971,22
navigation,972,22
unordered,973,22
locally,974,22
now,975,22
resulting,976,22
traditional,977,22
snippet,978,22
statements,979,22
parser,980,22
concern-based,981,22
awb,982,22
enough,983,22
compared,984,22
typically,985,22
store,986,22
short,987,21
uml,988,21
community,989,21
visualize,990,21
represented,991,21
window,992,21
far,993,21
statistics,994,21
integrated,995,21
cd,996,21
four,997,21
ii,998,21
ng,999,21
ra,1000,21
lack,1001,21
decomposition,1002,21
prefixes,1003,21
solution,1004,21
steps,1005,21
respect,1006,21
decisions,1007,21
takes,1008,21
person,1009,21
implement,1010,21
improve,1011,21
classification,1012,21
min,1013,21
implicit,1014,21
organization,1015,21
levels,1016,21
dirent,1017,21
old,1018,21
limitedself,1019,21
relatively,1020,21
position,1021,21
online,1022,21
saint,1023,21
little,1024,21
murphy,1025,21
extender,1026,21
invoked,1027,21
zero,1028,21
guide,1029,21
token,1030,21
compoundbox,1031,20
van,1032,20
share,1033,20
supporting,1034,20
assumption,1035,20
looking,1036,20
communication,1037,20
nl,1038,20
r1,1039,20
seen,1040,20
create,1041,20
reports,1042,20
ments,1043,20
principles,1044,20
providing,1045,20
cvsgrab,1046,20
correspond,1047,20
unit,1048,20
wcre,1049,20
robles,1050,20
produce,1051,20
human,1052,20
consistently,1053,20
selection,1054,20
attribute,1055,20
engines,1056,20
axioms,1057,20
oss,1058,20
independent,1059,20
combined,1060,20
e-mail,1061,20
cause,1062,20
happen,1063,20
return,1064,20
occur,1065,20
textual,1066,20
amount,1067,20
whitehead,1068,19
semantics,1069,19
examined,1070,19
immutable,1071,19
reusability,1072,19
evidence,1073,19
tions,1074,19
running,1075,19
c2,1076,19
jr,1077,19
neamtiu,1078,19
mb,1079,19
insight,1080,19
addresses,1081,19
challenges,1082,19
introduced,1083,19
gnu,1084,19
efficient,1085,19
gonzalez-barahona,1086,19
asts,1087,19
icons,1088,19
ity,1089,19
predict,1090,19
hypothesis,1091,19
identification,1092,19
works,1093,19
renaming,1094,19
sink,1095,19
similarly,1096,19
record,1097,19
statistically,1098,19
intl,1099,19
enhancement,1100,19
complexity,1101,19
furthermore,1102,19
direct,1103,19
investigated,1104,19
divided,1105,19
members,1106,19
followed,1107,19
generic,1108,19
execution,1109,19
itself,1110,19
reference,1111,19
raw,1112,19
source-code,1113,19
itemset,1114,19
bsd,1115,19
sue,1116,19
question,1117,18
creating,1118,18
examining,1119,18
labelled,1120,18
observed,1121,18
long,1122,18
interest,1123,18
threshold,1124,18
leads,1125,18
placed,1126,18
predicting,1127,18
closed,1128,18
gif,1129,18
observations,1130,18
gui,1131,18
lan-,1132,18
inheritance,1133,18
header,1134,18
rule,1135,18
indeed,1136,18
shell,1137,18
maintained,1138,18
warnings,1139,18
rest,1140,18
false,1141,18
sim-,1142,18
kde,1143,18
cluster,1144,18
dataset,1145,18
equal,1146,18
combination,1147,18
whereas,1148,18
sense,1149,18
shared,1150,18
historical,1151,18
ver-,1152,18
investigate,1153,18
variety,1154,18
connected,1155,18
learning,1156,18
efforts,1157,18
kernel,1158,18
filtering,1159,18
violations,1160,18
unfortunately,1161,18
trans,1162,18
june,1163,18
machine,1164,18
processing,1165,18
operation,1166,18
definition,1167,18
lattice,1168,18
exch,1169,18
duplicated,1170,18
message,1171,18
body,1172,18
until,1173,18
introduce,1174,18
editing,1175,18
yang,1176,18
pinzger,1177,18
range,1178,18
boxplots,1179,18
effective,1180,17
godfrey,1181,17
via,1182,17
restructuring,1183,17
vol,1184,17
abstraction,1185,17
developing,1186,17
hierarchical,1187,17
jp,1188,17
entry,1189,17
prediction,1190,17
returned,1191,17
committer,1192,17
european,1193,17
entire,1194,17
early,1195,17
yet,1196,17
limitations,1197,17
coogle,1198,17
sequential,1199,17
inh,1200,17
removed,1201,17
formally,1202,17
fischer,1203,17
views,1204,17
metadata,1205,17
shanghai,1206,17
making,1207,17
successive,1208,17
cloned,1209,17
let,1210,17
scenario,1211,17
primary,1212,17
obtain,1213,17
goals,1214,17
supports,1215,17
command,1216,17
ccfinder,1217,17
lightweight,1218,17
color,1219,17
refer,1220,17
carol,1221,17
issue,1222,17
life,1223,17
yellow,1224,17
china,1225,17
per,1226,17
period,1227,17
detectors,1228,17
major,1229,17
request,1230,17
requirements,1231,17
duplication,1232,17
just,1233,17
reasons,1234,17
moreover,1235,17
username,1236,17
habits,1237,17
practical,1238,17
six,1239,17
meta-model,1240,17
jdiff,1241,16
activities,1242,16
editors,1243,16
included,1244,16
clustering,1245,16
demeyer,1246,16
exists,1247,16
html,1248,16
seems,1249,16
exception,1250,16
eng,1251,16
sharing,1252,16
mappings,1253,16
s1,1254,16
uk,1255,16
phase,1256,16
calculated,1257,16
ief,1258,16
parameters,1259,16
unfactorable,1260,16
focused,1261,16
errors,1262,16
manage,1263,16
relative,1264,16
adding,1265,16
evaluate,1266,16
entries,1267,16
physical,1268,16
association,1269,16
signature,1270,16
returns,1271,16
rich,1272,16
family,1273,16
representations,1274,16
detector,1275,16
excluded,1276,16
effects,1277,16
necessarily,1278,16
acknowledgments,1279,16
dependency,1280,16
suppose,1281,16
drop,1282,16
columns,1283,16
cost,1284,16
bmat,1285,16
department,1286,16
interested,1287,16
pmd,1288,16
overview,1289,16
archive,1290,16
five,1291,16
again,1292,16
event,1293,16
normalized,1294,16
assignments,1295,16
frequent-sequence,1296,16
copying,1297,15
academic,1298,15
dsu,1299,15
needed,1300,15
foundation,1301,15
below,1302,15
issues,1303,15
completely,1304,15
explore,1305,15
sure,1306,15
sites,1307,15
es,1308,15
nd,1309,15
recent,1310,15
s2,1311,15
reasonable,1312,15
suspect,1313,15
depth,1314,15
openssh,1315,15
novel,1316,15
earlier,1317,15
editor,1318,15
manually,1319,15
visualized,1320,15
aggregation,1321,15
ment,1322,15
enable,1323,15
kenyon,1324,15
notion,1325,15
popular,1326,15
largest,1327,15
observation,1328,15
fraction,1329,15
lcs,1330,15
los,1331,15
detected,1332,15
evolutionary,1333,15
change-set,1334,15
hierarchy,1335,15
msloc,1336,15
wide,1337,15
compiler,1338,15
service,1339,15
per-,1340,15
conditionally,1341,15
diehl,1342,15
marmoset,1343,15
transitive,1344,15
inferred,1345,15
trace,1346,15
prototype,1347,15
compilations,1348,15
ask,1349,15
greater,1350,15
bar,1351,15
affect,1352,15
annotations,1353,15
hack,1354,15
seconds,1355,15
distinct,1356,15
fragment,1357,15
category,1358,15
struct,1359,14
findings,1360,14
moment,1361,14
actual,1362,14
start,1363,14
libraries,1364,14
dev,1365,14
propagation,1366,14
log-,1367,14
theory,1368,14
identity,1369,14
ecr,1370,14
year,1371,14
density,1372,14
vsftpd,1373,14
occurs,1374,14
tokens,1375,14
maintain,1376,14
companies,1377,14
alamitos,1378,14
rank,1379,14
formed,1380,14
bcel,1381,14
id,1382,14
dis-,1383,14
pr,1384,14
rb,1385,14
analyzer,1386,14
teams,1387,14
jazayeri,1388,14
performing,1389,14
automated,1390,14
kstyle,1391,14
products,1392,14
periods,1393,14
restrictedcreation,1394,14
reengineering,1395,14
evolve,1396,14
definitions,1397,14
ying,1398,14
sys-,1399,14
corresponds,1400,14
mediator,1401,14
client,1402,14
subset,1403,14
especially,1404,14
dnsjava,1405,14
feedback,1406,14
left,1407,14
devel-,1408,14
considering,1409,14
denote,1410,14
rhdb,1411,14
sizes,1412,14
solutions,1413,14
recently,1414,14
detail,1415,14
matrix,1416,14
lanza,1417,14
referred,1418,14
mapping,1419,14
indicated,1420,14
sloc,1421,14
iwpse,1422,14
preprocessing,1423,14
months,1424,14
starting,1425,14
activity,1426,14
allowing,1427,14
blue,1428,14
pam,1429,14
linear,1430,14
intended,1431,14
sliding,1432,14
classified,1433,14
contribution,1434,14
except,1435,14
unrelated,1436,14
modify,1437,14
guages,1438,14
renamings,1439,14
scripts,1440,14
latter,1441,14
reduce,1442,14
nature,1443,14
counts,1444,14
extractor,1445,14
sions,1446,14
eick,1447,13
procedures,1448,13
tween,1449,13
try,1450,13
creation,1451,13
conceptual,1452,13
journal,1453,13
right,1454,13
visualizations,1455,13
benefit,1456,13
seven,1457,13
layout,1458,13
assessment,1459,13
correlations,1460,13
metric,1461,13
remains,1462,13
huge,1463,13
import,1464,13
observe,1465,13
develop-,1466,13
em,1467,13
content-id,1468,13
sec-,1469,13
heap,1470,13
grouped,1471,13
self,1472,13
itemsets,1473,13
grading,1474,13
codes,1475,13
ruby,1476,13
clearly,1477,13
persons,1478,13
manual,1479,13
fast,1480,13
previously,1481,13
filenames,1482,13
focuses,1483,13
remaining,1484,13
refactorings,1485,13
consisting,1486,13
thank,1487,13
onto,1488,13
labeled,1489,13
bide,1490,13
minutes,1491,13
assigned,1492,13
importance,1493,13
paths,1494,13
sqminer,1495,13
took,1496,13
preprocessor,1497,13
graphmania,1498,13
parallel,1499,13
chosen,1500,13
columba,1501,13
achieve,1502,13
germany,1503,13
lexical,1504,13
integration,1505,13
facts,1506,13
localnamemap,1507,13
light,1508,13
organized,1509,13
listed,1510,13
comes,1511,13
bevan,1512,13
program-,1513,13
reduced,1514,13
constructed,1515,13
bottom-up,1516,13
navigate,1517,13
mod-,1518,13
compilation,1519,13
codebase,1520,13
experimental,1521,13
increase,1522,13
deal,1523,13
bound,1524,13
actors,1525,13
missing,1526,13
tiv,1527,12
memory,1528,12
measured,1529,12
tend,1530,12
finds,1531,12
possibly,1532,12
postfix,1533,12
learn,1534,12
mation,1535,12
updating,1536,12
improving,1537,12
quickly,1538,12
extent,1539,12
extend,1540,12
ch,1541,12
ed,1542,12
never,1543,12
go,1544,12
recovering,1545,12
li,1546,12
ma,1547,12
documented,1548,12
mj,1549,12
storage,1550,12
purpose,1551,12
scale,1552,12
security,1553,12
factors,1554,12
german,1555,12
bug-introducing,1556,12
induce,1557,12
impossible,1558,12
deletion,1559,12
scotland,1560,12
coupd,1561,12
temporal,1562,12
something,1563,12
actually,1564,12
iff,1565,12
edinburgh,1566,12
influence,1567,12
investigation,1568,12
equivalent,1569,12
split,1570,12
expressed,1571,12
studied,1572,12
informal,1573,12
miner,1574,12
matter,1575,12
quite,1576,12
checked,1577,12
min-,1578,12
iden-,1579,12
down,1580,12
cloning,1581,12
internet,1582,12
clusters,1583,12
leading,1584,12
against,1585,12
fully,1586,12
statement,1587,12
mkdir,1588,12
generally,1589,12
trans-,1590,12
filters,1591,12
come,1592,12
minimum,1593,12
seamonkeymailnews,1594,12
contributions,1595,12
wine,1596,12
datasets,1597,12
external,1598,12
latest,1599,12
explain,1600,12
efficiently,1601,12
heterogeneous,1602,12
institute,1603,12
item,1604,12
percentage,1605,12
icon,1606,12
dead,1607,12
depicts,1608,12
implementing,1609,12
sum,1610,12
extended,1611,12
filter,1612,12
tem,1613,11
suitable,1614,11
taking,1615,11
implications,1616,11
says,1617,11
direction,1618,11
think,1619,11
services,1620,11
hours,1621,11
specifically,1622,11
d_j,1623,11
d_i,1624,11
bodies,1625,11
showing,1626,11
construct,1627,11
infor-,1628,11
iwpc,1629,11
noted,1630,11
happens,1631,11
author-date,1632,11
axiom,1633,11
expected,1634,11
monitoring,1635,11
duplicate,1636,11
evaluated,1637,11
ac,1638,11
f3,1639,11
specification,1640,11
os,1641,11
re,1642,11
necessary,1643,11
privacy,1644,11
gcc,1645,11
combinations,1646,11
union,1647,11
arch,1648,11
named,1649,11
williams,1650,11
basis,1651,11
top-down,1652,11
weight,1653,11
infrastructure,1654,11
potential,1655,11
mea-,1656,11
advantages,1657,11
forges,1658,11
algo-,1659,11
belong,1660,11
nevertheless,1661,11
changed-file,1662,11
paste,1663,11
handle,1664,11
precision,1665,11
extractors,1666,11
helpful,1667,11
difficulty,1668,11
subsequent,1669,11
helps,1670,11
auth,1671,11
cross,1672,11
sion,1673,11
degree,1674,11
demonstrate,1675,11
expect,1676,11
describing,1677,11
poorly,1678,11
respectively,1679,11
structurally,1680,11
possibility,1681,11
declarations,1682,11
indexing,1683,11
ample,1684,11
browser,1685,11
messages,1686,11
max,1687,11
esec,1688,11
postprocessor,1689,11
california,1690,11
horwitz,1691,11
mon,1692,11
specified,1693,11
capture,1694,11
springer,1695,11
behavior,1696,11
volume,1697,11
method-call,1698,11
riva,1699,11
promising,1700,11
depends,1701,11
enables,1702,11
keep,1703,11
strings,1704,11
decreasing,1705,11
reveal,1706,11
compiled,1707,11
manner,1708,11
renamed,1709,11
typical,1710,11
put,1711,11
identifies,1712,11
versioning,1713,11
july,1714,11
hope,1715,11
appears,1716,11
perspective,1717,11
denotes,1718,11
employ,1719,11
briefly,1720,11
evolving,1721,11
interact,1722,11
unchanged,1723,11
score,1724,11
washington,1725,11
maintaining,1726,11
suggested,1727,11
as-,1728,11
spaces,1729,11
authentication,1730,11
slicing,1731,11
big,1732,11
select,1733,11
manager,1734,11
comprehension,1735,11
towards,1736,11
empty,1737,10
dumps,1738,10
defines,1739,10
inspected,1740,10
length,1741,10
breu,1742,10
comparable,1743,10
treat,1744,10
maps,1745,10
mark,1746,10
trend,1747,10
ohsugi,1748,10
itory,1749,10
notes,1750,10
canada,1751,10
chose,1752,10
gram,1753,10
lution,1754,10
collections,1755,10
hammock,1756,10
exceptions,1757,10
dif-,1758,10
co,1759,10
cr,1760,10
f4,1761,10
ex,1762,10
fsa,1763,10
fse,1764,10
become,1765,10
ability,1766,10
og,1767,10
problematic,1768,10
rd,1769,10
email,1770,10
capturing,1771,10
vj,1772,10
forge,1773,10
conclude,1774,10
strongly,1775,10
counting,1776,10
void,1777,10
multi-,1778,10
debug,1779,10
alternative,1780,10
march,1781,10
promise,1782,10
human-selected,1783,10
action,1784,10
stakeholders,1785,10
showed,1786,10
tech-,1787,10
runs,1788,10
quantity,1789,10
sorted,1790,10
linked,1791,10
unix,1792,10
predictors,1793,10
taken,1794,10
rely,1795,10
highlight,1796,10
captured,1797,10
parse,1798,10
notkin,1799,10
repos-,1800,10
december,1801,10
publication,1802,10
variant,1803,10
implements,1804,10
throughout,1805,10
aspectual,1806,10
mechanisms,1807,10
week,1808,10
statistical,1809,10
characters,1810,10
check,1811,10
well-known,1812,10
modifying,1813,10
high-level,1814,10
loc,1815,10
correlate,1816,10
ident,1817,10
ideal,1818,10
depicted,1819,10
exactly,1820,10
depend,1821,10
attempts,1822,10
internal,1823,10
foundations,1824,10
decided,1825,10
spidering,1826,10
contained,1827,10
system-specific,1828,10
hollingsworth,1829,10
japanese,1830,10
